energy_run_selection, energy_update_accuracy, energy_redundancy_check, energy_cal_budget, energy_gen_selections, energy_update_selection, current_computation_energy, available_energy_per_image, total_system_capacity_available, total_budget_available, current_accuracy, changed_module_id, changed_variant_id, images_remaining, number_of_available_selections 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
20311, 8884, 3779, 0, 496, 618, 34088, 3300359, 3299245, 99967025, 24.767, -1, -1, 18, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
141191, 17957, 3806, 0, 7, 12, 162973, 3169265, 3170360, 99802957, 12.4574, -1, -1, 18, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
14963, 9973, 3827, 0, 0, 5, 28768, 3304551, 3304565, 99774175, 22.6932, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
15337, 13937, 3837, 0, 1, 5, 33117, 3300217, 3300216, 99741059, 24.1476, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
10756, 9180, 3830, 0, 0, 5, 23771, 3309561, 3309562, 99717287, 17.4355, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
10258, 12821, 3780, 1, 0, 6, 26866, 3306469, 3306467, 99690423, 18.5348, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
21644, 9434, 3781, 0, 1, 5, 34865, 3298467, 3298468, 99655557, 29.566, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
20597, 14989, 3793, 0, 0, 5, 39384, 3293948, 3293949, 99616172, 30.9516, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
25361, 9009, 3787, 0, 0, 6, 38163, 3295171, 3295170, 99578010, 20.9627, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
13053, 15129, 3783, 1, 0, 6, 31972, 3301362, 3301361, 99546039, 14.0341, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
14842, 9046, 3857, 0, 1, 6, 27752, 3305581, 3305581, 99518287, 15.2915, -1, -1, 18, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
16768, 15241, 3780, 0, 0, 8, 35797, 3297537, 3297536, 99482491, 26.5556, -1, -1, 18, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
15224, 9361, 3782, 0, 0, 9, 28376, 3304958, 3304957, 99454116, 23.1099, -1, -1, 18, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
15489, 14717, 3855, 0, 0, 9, 34070, 3299263, 3299263, 99420046, 24.4048, -1, -1, 18, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
12681, 15821, 3752, 1, 0, 8, 32263, 3301070, 3301070, 99387783, 23.3756, -1, -1, 18, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
16456, 9516, 3750, 1, 1, 8, 29732, 3303602, 3303601, 99358052, 25.0991, -1, -1, 18, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0 
19088, 9233, 3830, 0, 2, 8, 32161, 3301172, 3301172, 99325891, 23.8399, -1, -1, 18, 3
